o_sa3_11,d_sa3_11,employed_persons,transport_class,o_lat,o_long,d_lat,d_long
10201,10201,3366,At Home,-33.3654178370037,151.218166624468,-33.3654178370037,151.218166624468
10201,10201,28781,Motor Vehicle,-33.3654178370037,151.218166624468,-33.3654178370037,151.218166624468
10201,10201,6284,Other,-33.3654178370037,151.218166624468,-33.3654178370037,151.218166624468
10201,10201,1492,Physical Activity,-33.3654178370037,151.218166624468,-33.3654178370037,151.218166624468
10201,10201,1262,Public Transport,-33.3654178370037,151.218166624468,-33.3654178370037,151.218166624468
10201,10202,24,At Home,-33.3654178370037,151.218166624468,-33.2258189296388,151.381697628743
10201,10202,5670,Motor Vehicle,-33.3654178370037,151.218166624468,-33.2258189296388,151.381697628743
10201,10202,899,Other,-33.3654178370037,151.218166624468,-33.2258189296388,151.381697628743
10201,10202,15,Physical Activity,-33.3654178370037,151.218166624468,-33.2258189296388,151.381697628743
10201,10202,211,Public Transport,-33.3654178370037,151.218166624468,-33.2258189296388,151.381697628743
10201,10601,4,At Home,-33.3654178370037,151.218166624468,-32.623794733439,151.224207132644
10201,10601,138,Motor Vehicle,-33.3654178370037,151.218166624468,-32.623794733439,151.224207132644
10201,10601,18,Other,-33.3654178370037,151.218166624468,-32.623794733439,151.224207132644
10201,10602,91,Motor Vehicle,-33.3654178370037,151.218166624468,-32.7097666876091,151.548731554685
10201,10602,27,Other,-33.3654178370037,151.218166624468,-32.7097666876091,151.548731554685
10201,10602,6,Public Transport,-33.3654178370037,151.218166624468,-32.7097666876091,151.548731554685
10201,10603,72,Motor Vehicle,-33.3654178370037,151.218166624468,-32.6974250296331,151.903557157689
10201,10603,6,Other,-33.3654178370037,151.218166624468,-32.6974250296331,151.903557157689
10201,10603,3,Public Transport,-33.3654178370037,151.218166624468,-32.6974250296331,151.903557157689
10201,10703,10,Motor Vehicle,-33.3654178370037,151.218166624468,-34.6478532959603,150.76647968206
10201,10704,10,Motor Vehicle,-33.3654178370037,151.218166624468,-34.252073499099,150.932031199169
10201,11101,3,At Home,-33.3654178370037,151.218166624468,-33.0205454177941,151.661567991841
10201,11101,212,Motor Vehicle,-33.3654178370037,151.218166624468,-33.0205454177941,151.661567991841
10201,11101,31,Other,-33.3654178370037,151.218166624468,-33.0205454177941,151.661567991841
10201,11101,3,Public Transport,-33.3654178370037,151.218166624468,-33.0205454177941,151.661567991841
10201,11102,183,Motor Vehicle,-33.3654178370037,151.218166624468,-33.0445004310488,151.493708994439
10201,11102,18,Other,-33.3654178370037,151.218166624468,-33.0445004310488,151.493708994439
10201,11102,12,Public Transport,-33.3654178370037,151.218166624468,-33.0445004310488,151.493708994439
10201,11103,9,At Home,-33.3654178370037,151.218166624468,-32.8733620561585,151.710306815467
10201,11103,486,Motor Vehicle,-33.3654178370037,151.218166624468,-32.8733620561585,151.710306815467
10201,11103,41,Other,-33.3654178370037,151.218166624468,-32.8733620561585,151.710306815467
10201,11103,3,Physical Activity,-33.3654178370037,151.218166624468,-32.8733620561585,151.710306815467
10201,11103,92,Public Transport,-33.3654178370037,151.218166624468,-32.8733620561585,151.710306815467
10201,11401,7,Motor Vehicle,-33.3654178370037,151.218166624468,-35.0754067171435,150.379720976559
10201,11402,49,Motor Vehicle,-33.3654178370037,151.218166624468,-34.4932078647714,150.339391345565
10201,11402,11,Other,-33.3654178370037,151.218166624468,-34.4932078647714,150.339391345565
